,date,ticker,sentiment
548,2023-02-21,BTC-USD,1
549,2023-02-21,BTC-USD,0
550,2023-02-21,BTC-USD,0
551,2023-02-20,BTC-USD,0
552,2023-02-20,BTC-USD,1
553,2023-02-20,BTC-USD,1
554,2023-02-20,BTC-USD,1
555,2023-02-20,BTC-USD,0
556,2023-02-20,BTC-USD,-1
557,2023-02-20,BTC-USD,1
558,2023-02-20,BTC-USD,1
559,2023-02-19,BTC-USD,0
560,2023-02-18,BTC-USD,0
561,2023-02-18,BTC-USD,0
562,2023-02-18,BTC-USD,1
563,2023-02-17,BTC-USD,1
564,2023-02-17,BTC-USD,0
565,2023-02-17,BTC-USD,-1
566,2023-02-17,BTC-USD,1
567,2023-02-17,BTC-USD,0
568,2023-03-02,BTC-USD,0
569,2023-03-02,BTC-USD,-1
570,2023-02-17,BTC-USD,-1
571,2023-02-17,BTC-USD,1
572,2023-02-17,BTC-USD,0
573,2023-02-16,BTC-USD,1
574,2023-02-16,BTC-USD,-1
575,2023-02-16,BTC-USD,-1
576,2023-02-16,BTC-USD,0
577,2023-02-16,BTC-USD,1
578,2023-02-16,BTC-USD,0
579,2023-03-01,BTC-USD,-1
580,2023-02-16,BTC-USD,0
581,2023-02-16,BTC-USD,1
582,2023-02-16,BTC-USD,0
583,2023-02-16,BTC-USD,0
584,2023-02-16,BTC-USD,1
585,2023-02-16,BTC-USD,0
586,2023-02-16,BTC-USD,0
587,2023-02-16,BTC-USD,0
588,2023-02-16,BTC-USD,1
589,2023-02-16,BTC-USD,-1
590,2023-02-16,BTC-USD,0
591,2023-02-16,BTC-USD,0
592,2023-02-15,BTC-USD,1
593,2023-02-15,BTC-USD,-1
594,2023-02-15,BTC-USD,1
595,2023-02-15,BTC-USD,0
596,2023-02-15,BTC-USD,-1
597,2023-02-15,BTC-USD,0
598,2023-02-15,BTC-USD,1
599,2023-02-15,BTC-USD,-1
600,2023-02-14,BTC-USD,0
601,2023-02-14,BTC-USD,1
602,2023-02-14,BTC-USD,0
603,2023-02-14,BTC-USD,-1
604,2023-02-14,BTC-USD,-1
605,2023-02-14,BTC-USD,0
606,2023-02-14,BTC-USD,0
607,2023-03-01,BTC-USD,-1
642,2023-03-02,amzn,-1
643,2023-03-02,amzn,1
644,2023-03-02,amzn,1
645,2023-03-02,amzn,0
646,2023-03-01,amzn,0
647,2023-03-01,amzn,-1
648,2023-03-01,amzn,0
649,2023-03-01,amzn,0
650,2023-02-28,amzn,-1
651,2023-02-28,amzn,0
652,2023-02-28,amzn,1
653,2023-02-27,amzn,-1
654,2023-02-27,amzn,0
655,2023-02-24,amzn,1
656,2023-02-24,amzn,-1
657,2023-02-24,amzn,0
658,2023-02-23,amzn,-1
659,2023-02-23,amzn,0
660,2023-02-23,amzn,0
661,2023-02-22,amzn,0
662,2023-02-22,amzn,-1
663,2023-02-21,amzn,0
664,2023-02-21,amzn,0
665,2023-02-18,amzn,0
666,2023-02-18,amzn,1
667,2023-02-17,amzn,0
668,2023-02-17,amzn,0
669,2023-02-16,amzn,1
670,2023-02-16,amzn,-1
671,2023-02-16,amzn,-1
672,2023-02-16,amzn,0
673,2023-02-15,amzn,-1
674,2023-02-15,amzn,0
675,2023-02-14,amzn,0
676,2023-02-14,amzn,0
677,2023-02-14,amzn,-1
678,2023-02-14,amzn,0
680,2023-03-02,amzn,0
681,2023-03-02,amzn,0
682,2023-03-01,amzn,1
683,2023-03-02,amzn,0
684,2023-03-02,amzn,0
685,2023-03-02,amzn,1
686,2023-03-02,amzn,0
687,2023-03-02,amzn,0
688,2023-03-02,amzn,1
689,2023-03-01,amzn,0
690,2023-03-01,amzn,1
691,2023-03-01,amzn,0
692,2023-03-01,amzn,1
693,2023-03-01,amzn,-1
694,2023-03-01,amzn,-1
695,2023-02-28,amzn,0
696,2023-02-28,amzn,1
697,2023-02-28,amzn,-1
698,2023-02-28,amzn,0
699,2023-02-28,amzn,1
700,2023-02-28,amzn,0
701,2023-02-28,amzn,0
702,2023-03-01,amzn,0
703,2023-03-01,amzn,0
704,2023-02-28,amzn,0
705,2023-02-28,amzn,1
706,2023-03-01,amzn,0
707,2023-03-01,amzn,0
708,2023-02-28,amzn,0
709,2023-02-27,amzn,0
710,2023-02-27,amzn,0
711,2023-02-27,amzn,1
712,2023-02-27,amzn,1
713,2023-02-27,amzn,-1
714,2023-02-27,amzn,-1
715,2023-02-25,amzn,0
716,2023-02-24,amzn,1
717,2023-02-24,amzn,-1
718,2023-02-24,amzn,1
719,2023-02-24,amzn,1
720,2023-02-24,amzn,1
721,2023-02-24,amzn,1
722,2023-02-23,amzn,0
723,2023-02-23,amzn,0
724,2023-02-23,amzn,-1
725,2023-02-23,amzn,1
726,2023-02-23,amzn,0
727,2023-02-23,amzn,0
728,2023-02-23,amzn,0
729,2023-02-23,amzn,1
730,2023-02-22,amzn,1
731,2023-02-22,amzn,1
732,2023-02-22,amzn,0
733,2023-02-22,amzn,0
734,2023-02-22,amzn,1
735,2023-02-22,amzn,0
736,2023-02-22,amzn,0
737,2023-02-22,amzn,1
738,2023-02-22,amzn,0
739,2023-02-22,amzn,0
740,2023-02-22,amzn,1
741,2023-02-21,amzn,-1
742,2023-02-21,amzn,0
743,2023-02-21,amzn,0
744,2023-02-21,amzn,0
745,2023-02-21,amzn,0
746,2023-02-21,amzn,1
747,2023-02-21,amzn,0
748,2023-02-21,amzn,-1
749,2023-03-02,msft,-1
750,2023-03-02,msft,1
751,2023-03-02,msft,1
752,2023-03-02,msft,0
753,2023-03-01,msft,0
754,2023-03-01,msft,-1
755,2023-03-01,msft,0
756,2023-03-01,msft,0
757,2023-02-28,msft,-1
758,2023-02-28,msft,0
759,2023-02-28,msft,1
760,2023-02-27,msft,-1
761,2023-02-27,msft,0
762,2023-02-24,msft,1
763,2023-02-24,msft,-1
764,2023-02-24,msft,0
765,2023-02-23,msft,-1
766,2023-02-23,msft,0
767,2023-02-23,msft,0
768,2023-02-22,msft,0
769,2023-02-22,msft,-1
770,2023-02-21,msft,0
771,2023-02-21,msft,0
772,2023-02-18,msft,0
773,2023-02-18,msft,1
774,2023-02-17,msft,0
775,2023-02-17,msft,0
776,2023-02-16,msft,1
777,2023-02-16,msft,-1
778,2023-02-16,msft,-1
779,2023-02-16,msft,0
780,2023-02-15,msft,-1
781,2023-02-15,msft,0
782,2023-02-14,msft,0
783,2023-02-14,msft,0
784,2023-02-14,msft,-1
785,2023-02-14,msft,0
787,2023-03-02,msft,0
788,2023-03-02,msft,0
789,2023-03-02,msft,0
790,2023-03-01,msft,-1
791,2023-03-02,msft,0
792,2023-03-02,msft,0
793,2023-03-02,msft,0
794,2023-03-02,msft,1
795,2023-03-02,msft,0
796,2023-03-01,msft,1
797,2023-03-02,msft,0
798,2023-03-02,msft,0
799,2023-03-01,msft,0
800,2023-03-01,msft,0
801,2023-03-01,msft,0
802,2023-03-01,msft,0
803,2023-03-01,msft,-1
804,2023-03-01,msft,0
805,2023-03-01,msft,0
